Index,ContributorID,Contributor_PersonID,PersonID,Year,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
55,S11,P5,S11P5,2023,52,169.79,78.9,High School,2,FALSE,TRUE,Ip man,Guangdong,8
56,S12,P1,S12P1,2023,45,180,71,Undergraduate Degree (UG),2,None,None,Farewell My Concubine,Hubei,9
57,S12,P2,S12P2,2023,74,176,70,High School,1,None,None,tunnel warefare,Hubei,10
58,S12,P3,S12P3,2023,71,157,48,High School,1,None,None,My Motherland And I,Hubei,10
59,S12,P4,S12P4,2023,19,181,81,Undergraduate Degree (UG),3,FALSE,TRUE,The Shawshank Redemption,Hubei,10
60,S12,P5,S12P5,2023,18,172,65,High School,2,TRUE,None,The Wandering Earth,Hubei,10
61,S13,P1,S13P1,2023,20,187,77,Undergraduate Degree (UG),2,TRUE,FALSE,Dead Poets Society,Hebei,9
62,S13,P2,S13P2,2023,25,178,71,Undergraduate Degree (UG),2,FALSE,TRUE,The Wandering Earth,Shanghai,6
63,S13,P3,S13P3,2023,46,184,72,Undergraduate Degree (UG),2,FALSE,FALSE,The Green Book,Hebei,8
64,S13,P4,S13P4,2023,30,181,69,Postgraduate/ Master's Degree (PG),3,TRUE,FALSE,Spirited Away,Hebei,7
65,S13,P5,S13P5,2023,21,164,54,Undergraduate Degree (UG),2,FALSE,TRUE,Pride and Prejudice,Beijing,6
66,S14,P1,S14P1,2023,18,164.32,45.52,Undergraduate Degree (UG),2,TRUE,TRUE,Unforgiven,Hunan,8
67,S14,P2,S14P2,2023,17,170.54,75.33,High School,2,FALSE,FALSE,Iron Man,Hunan,7
68,S14,P3,S14P3,2023,47,161.56,60.32,Doctorate degree (PhD),2,TRUE,TRUE,Pride and Prejudice,Guangdong,6
69,S14,P4,S14P4,2023,18,172.44,52.54,Undergraduate Degree (UG),2,FALSE,TRUE,Gone With the Wind,Jilin,7
70,S14,P5,S14P5,2023,18,172.55,52.54,Undergraduate Degree (UG),2,TRUE,TRUE,City of Angels,Anhui,7
71,S15,P1,S15P1,2023,19,175.5,52.2,Undergraduate Degree (UG),3,FALSE,TRUE,Sword art online,Guangdong,9
72,S15,P2,S15P2,2023,19,181,51,Undergraduate Degree (UG),2,None,TRUE,Farewell my concubine ,Guangdong,7
73,S15,P3,S15P3,2023,18,180,81.1,Undergraduate Degree (UG),3,None,None,Dongfang project,Guangdong,7
74,S15,P4,S15P4,2023,19,165.5,53,Undergraduate Degree (UG),5,FALSE,FALSE,Love letter ,Guangdong,7
75,S15,P5,S15P5,2023,18,183,62,Undergraduate Degree (UG),3,FALSE,FALSE,Brave heart ,Guangdong,8
76,S16,P1,S16P1,2023,18,174,62,Undergraduate Degree (UG),2,FALSE,FALSE,The notebook,Heilongjiang,7
77,S16,P2,S16P2,2023,19,181,65,Undergraduate Degree (UG),5,TRUE,TRUE,Star Wars,Shanghai,7
78,S16,P3,S16P3,2023,18,174,62,Undergraduate Degree (UG),7,FALSE,FALSE,Despicable me,Beijing,7
79,S16,P4,S16P4,2023,19,168,72,Undergraduate Degree (UG),2,FALSE,TRUE,Harry Potter,Gansu,8
80,S16,P5,S16P5,2023,18,175,60,Undergraduate Degree (UG),3,FALSE,FALSE,Transformers,Sichuan,6
81,S17,P1,S17P1,2023,24,183.2,70.6,Postgraduate/ Master's Degree (PG),3,FALSE,TRUE,Titanic,Liaoning,6
82,S17,P2,S17P2,2023,36,169.6,40.9,Postgraduate/ Master's Degree (PG),2,FALSE,FALSE,Roman Holiday,Shanghai,8
83,S17,P3,S17P3,2023,44,173.9,66.9,Undergraduate Degree (UG),3,TRUE,TRUE,Avengers,Liaoning,7
84,S17,P4,S17P4,2023,26,165.2,51.3,Doctorate degree (PhD),3,FALSE,TRUE,Harry Potter,Beijing,5
85,S17,P5,S17P5,2023,50,181.3,80.7,Undergraduate Degree (UG),2,FALSE,TRUE,The Battle at Lake Changjin,Beijing,9
86,S18,P1,S18P1,2023,19,168,50,Undergraduate Degree (UG),2,TRUE,FALSE,Inception,Shanghai,7
87,S18,P2,S18P2,2023,20,175,65,Undergraduate Degree (UG),2,FALSE,FALSE,La La Land,Beijing,6
88,S18,P3,S18P3,2023,19,180,63,Undergraduate Degree (UG),2,TRUE,TRUE,Avengers：Infinity War,Beijing,7
89,S18,P4,S18P4,2023,49,160,47,Undergraduate Degree (UG),2,FALSE,None,Avatar,Beijing,8
90,S18,P5,S18P5,2023,48,170,74,Postgraduate/ Master's Degree (PG),2,FALSE,TRUE,The Wandering Earth,Beijing,7
91,S19,P1,S19P1,2023,19,165,53,Undergraduate Degree (UG),2,FALSE,TRUE,Tenet,Shanghai,10
92,S19,P2,S19P2,2023,25,185,85,Undergraduate Degree (UG),2,FALSE,FALSE,Averages,Shanghai,8
93,S19,P3,S19P3,2023,20,193,60,Undergraduate Degree (UG),3,FALSE,TRUE,X-men,Shandong,9
