Index,ContributorID,Contributor_PersonID,PersonID,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
95,S19,P5,S19P5,79,170,80,High School,1,FALSE,TRUE,None,Hubei,8
96,S20,P1,S20P1,19,172,56,Undergraduate Degree (UG),2,FALSE,FALSE,12 angry men,Hainan,5
97,S20,P2,S20P2,19,174,70,Undergraduate Degree (UG),2,FALSE,FALSE,The Pursuit of Happiness,Hainan,4
98,S20,P3,S20P3,19,165,51,Undergraduate Degree (UG),2,FALSE,FALSE,3 idiots,Hainan,3
99,S20,P4,S20P4,19,179,65,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Hainan,4
100,S20,P5,S20P5,19,176,90,Undergraduate Degree (UG),2,FALSE,TRUE,Spider man,Hainan,3
101,S21,P1,S21P1,18,168.66,68.23,Undergraduate Degree (UG),2,FALSE,FALSE,The Grandmaster,Shanghai,5
102,S21,P2,S21P2,18,172.32,60.48,Undergraduate Degree (UG),3,FALSE,FALSE,No Game No Life:Zero,Chongqing,6
103,S21,P3,S21P3,18,178.52,54.44,Undergraduate Degree (UG),2,FALSE,FALSE,A Clockwork Orange,Sichuan,8
104,S21,P4,S21P4,18,178.67,60.83,Undergraduate Degree (UG),2,FALSE,TRUE,The Dark Knight,Hunan,7
105,S21,P5,S21P5,18,175.51,82.69,Undergraduate Degree (UG),1,FALSE,TRUE,Pacific Rim,Jiangsu,10
106,S22,P1,S22P1,49,169,85,Undergraduate Degree (UG),1,FALSE,TRUE,Dangal,Guangdong,8
107,S22,P2,S22P2,33,185,80,High School,2,None,TRUE,Qomolangma,Shanghai,8
108,S22,P3,S22P3,33,180,70,High School,2,None,None,Shaolin soccar,Shanghai,8
109,S22,P4,S22P4,31,174,62,Some School,3,None,TRUE,The wandering Earth,Shanghai,7
110,S22,P5,S22P5,19,177,55,Undergraduate Degree (UG),2,TRUE,FALSE,Titanic,Guangdong,9
111,S23,P1,S23P1,18,172.67,60.56,Undergraduate Degree (UG),2,TRUE,FALSE,Avengers four,Shandong,4
112,S23,P2,S23P2,45,169.97,70.65,Some School,1,FALSE,FALSE,Thor3,Shandong,8
113,S23,P3,S23P3,18,181.76,70.76,Undergraduate Degree (UG),3,TRUE,TRUE,Fast and Furious6,Shandong,4
114,S23,P4,S23P4,25,163.27,50.22,Postgraduate/ Master's Degree (PG),2,FALSE,None,Harry Potter,Beijing,6
115,S23,P5,S23P5,55,165.62,70.11,Postgraduate/ Master's Degree (PG),2,FALSE,FALSE,Independent Day,Neimengu,9
116,S24,P5,S24P5,23,180,68,Undergraduate Degree (UG),2,TRUE,TRUE,Titanic,Fujian,7
117,S24,P1,S24P1,24,178,64,Undergraduate Degree (UG),2,FALSE,TRUE,Before Sunrise,Fujian,7
118,S24,P2,S24P2,18,180,58,Undergraduate Degree (UG),2,TRUE,TRUE,Before Sunset,Hubei,6
119,S24,P3,S24P3,19,171,54,Undergraduate Degree (UG),2,FALSE,TRUE,Pride & Prejudice,Chongqing,4
120,S24,P4,S24P4,20,177,75,Undergraduate Degree (UG),2,FALSE,FALSE,Roman Holiday,Beijing,8
121,S25,P1,S25P1,50,175,80,Undergraduate Degree (UG),5,FALSE,FALSE,Titanic,Hubei,8
122,S25,P2,S25P2,51,165,53,Undergraduate Degree (UG),2,TRUE,FALSE,Green Book,Hubei,9
123,S25,P3,S25P3,16,168,55,Some School,2,FALSE,TRUE,The Pursuit of Happiness,Hubei,6
124,S25,P4,S25P4,17,178,61,Some School,3,TRUE,FALSE,The Intern,Guangdong,6
125,S25,P5,S25P5,19,167,53,High School,3,TRUE,TRUE,Roman Holiday,Heilongjiang,7
126,S26,P1,S26P1,20,168.5,70.65,Undergraduate Degree (UG),2,FALSE,TRUE,Forrest Gump,Sichuan,8
127,S26,P2,S26P2,19,175.5,79.23,Undergraduate Degree (UG),2,FALSE,FALSE,The secret life of Walter Mitty,Sichuan,6
128,S26,P3,S26P3,19,179.3,55.96,Undergraduate Degree (UG),2,FALSE,TRUE,La La Land,Sichuan,7
